Age,Male,Female
0,0.019,0.014
1,0.001754613,0.001503387
5,0.00040032,0.00040032
10,0.00040032,0.00020008
15,0.001806515,0.00040032
20,0.003626204,0.000600721
25,0.004032389,0.000801283
30,0.003829214,0.000801283
35,0.003423359,0.00120289
40,0.003423359,0.001605145
45,0.004235731,0.002411604
50,0.006073324,0.003829214
55,0.009166517,0.006073324
60,0.014197452,0.009581874
65,0.021723543,0.015471378
70,0.033580877,0.024799945
75,0.051423756,0.039147376
80,0.078076584,0.061775257
85,0.116930557,0.096218468
90,0.171651822,0.146468329
95,0.230386366,0.224215204
100,1,1
